t,A_metal,B_metal,sigma_metal,C_metal,A_gas,B_gas,sigma_gas,C_gas
0.24,4320329.61593705,-4319558.468266169,-1.9052763894595226,-38471.05460646754,722.863147894645,-49.36462442359141,0.031161809349520397,-29.712695805883047
0.25,4249710.462035294,-4248941.998006268,-1.8810855297181959,-38818.96559026876,723.1071932262624,-48.9556617051254,-0.03258592168665192,-31.835439388718513
0.26,4428715.282893493,-4427949.443164969,-1.8849404142515263,-40290.20537308004,723.5536460970683,-48.44881059118205,-0.03454977501981721,-34.341327381252526
0.27,4495973.418549922,-4495210.143074002,-1.8771368592548332,-41242.40036958187,725.0067266550695,-47.444950599514385,-0.03883879813539129,-38.419635974662356
0.28,7349411.510222371,-7348650.74177214,2.106941037262055,-53553.959450855524,4257826.396420034,-4257131.480311823,1.9671465181693406,-35569.18979472487
0.29,4740027.709058075,-4739269.395571758,1.8741040807193712,-43623.0074446525,2638072.675292326,-2637378.7979562455,-1.7314184742259888,-28418.411244109495
0.3,5638116.597410558,-5637360.685226898,1.94373512207218,-48250.21976603337,4330535.919312732,-4329843.098103533,1.9459109442062317,-36969.187892259615
0.31,5539292.745208194,-5538539.183764576,-1.9222229814602336,-48468.51501077706,4242355.23465337,-4241663.489983091,1.9221233511751672,-37115.7878140142
0.32,4426772.121641854,-4426020.86103535,-1.805608676997261,-43879.48388950177,4350168.3373793075,-4349477.683044966,1.9209651748399614,-38105.50393240971
0.33,8495940.741815489,-8495191.732373994,2.112773407804231,-61571.668586240274,4236027.577999805,-4235338.022899706,-1.8956116823502382,-38101.87353487146
0.34,8712309.807248361,-8711563.004766824,2.113540724880719,-63094.64796553018,4336286.072578269,-4335597.626951319,-1.8945626086423721,-39047.42041726765
0.35,8642210.54140315,-8641465.901722293,2.097260190571854,-63560.35175437873,4233513.642076963,-4232826.310881596,-1.8716011350377866,-39060.21723489322
0.36,8489132.687261289,-8488390.168714091,2.0764222674565116,-63690.96493942865,4251441.7052832665,-4250755.492838801,-1.8624136532824473,-39612.78773556812
0.37,8547794.280914789,-8547053.838930007,2.069054311441754,-64587.93806511038,4347990.523114421,-4347305.430019214,-1.8621603843748258,-40524.02646102818
0.38,8762307.048172202,-8761568.644417882,2.071330530179795,-66064.37820642472,4453336.02682904,-4452652.055525455,-1.8629115279038502,-41473.1764918149
0.39,8587465.861765984,-8586729.456004225,2.0508061595584137,-66045.42048893005,5408131.160490187,-5407448.307690768,-1.9452916392263708,-46204.57608857909
0.4,8655913.280901022,-8655178.835535163,2.0451690622161864,-66938.85056740286,4710590.971659359,-4709909.236631506,-1.869382209406216,-43568.19167795124
0.41,8464529.406002892,-8463796.886173101,2.0244363536445,-66803.06017033095,4554031.668878918,-4553351.0482622795,-1.8442876873550462,-43270.42843433113
0.42,8844207.295814624,-8843476.663335362,2.0377953740600323,-68890.55252466886,4844860.010217372,-4844180.499509392,-1.8639848586490253,-45070.186224986915
0.43,8663646.842344023,-8662918.063352825,2.0186710518862228,-68765.60664219852,5536711.674378824,-5536033.269829515,-1.9182422403296946,-48644.33338339952
0.44,8892040.062972495,-8891313.103786921,2.0235137878346974,-70242.53934289073,4504187.457146377,-4503510.152479678,-1.8132714064108144,-44269.48903160193
